SNO,RANK,ARNO,NAME,SEX,NEETNO,COM,MARKS,COLLEGENAME,QUOTA,COLLEGETYPE,FEES,COURSE,Year
33,85,1125,SUDARSAN.J,M,80102830,BC,549,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
34,86,5609,SUHAAS.J,M,80199153,OC,548,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
35,87,14701,GOKUL KAILASH R,M,80356278,BC,548,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
36,89,7994,AJITHKUMAR.S,M,80603496,MBC/DNC,546,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
37,90,3468,SWARNA SUJARITHA R,F,80410178,BC,546,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
38,91,3653,SIVAKUMAR.G,M,80364620,BC,546,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
39,92,568,CHANDRA KISHORE N S,M,80051293,BC,545,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
40,94,23998,ANUPAMA.H.KURUP,F,80025779,OC,545,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
41,95,5384,EVAN MEL JOSE T,M,80235211,BC,545,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
42,99,1155,SHRIGANESH PALANIKUMAR,M,80014566,BC,541,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
43,100,14352,SUDARSHAN SOMESHWAR.A.N,M,80033034,OC,541,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
44,102,53148,HARISH.R,M,80097391,BC,539,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
45,105,53759,K.KARTHIK,M,80438413,BC,537,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
46,106,6504,MAHIMA S,F,80005480,BC,536,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
47,107,11804,PRAVEEN T S B,M,80295280,BC,536,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
48,108,14717,SABYASACHI ROY U,M,80420342,OC,535,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
49,109,3574,SANGEETH SIVAN A,M,80640149,OC,535,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
50,111,8980,PRIYADARSHINE.K,F,80641268,BC,533,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
51,113,18900,HANNY JAPHINA.C.,F,80254839,BC,532,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
52,116,4705,HARISH NARASIMMAN A,M,80355149,BC,530,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
53,118,13352,PADMALAKSHMI.S.S,F,80195010,BC,528,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
54,119,13658,SUBIT.CHELREN.C.S,M,80505935,BC,528,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
55,120,9085,PRADEEPAN.S,M,80435399,BC,528,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
56,121,6255,AJAY SRIRAM.A,M,80095741,BC,528,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
57,122,50192,ANANDA GEETA,F,80054943,MBC/DNC,528,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
58,123,12692,SELVANAYAKI.K.S,F,80576553,BC,527,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
59,127,22606,SUNDHARESWAR.B,M,80314480,MBC/DNC,526,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
60,129,10834,GOWRI.K,F,80325315,MBC/DNC,524,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
61,130,922,SUDARSHANA BOSE,F,80013611,OC,524,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
62,131,18578,VASUDEVAN.K,M,80344132,BC,524,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
63,132,14970,SIDDHARTHA HARI.BA,M,80016974,BC,524,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
64,133,3172,DIVYA G,F,80489687,MBC/DNC,523,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
65,134,979,MANIKANDA PRABHU N,M,80323327,BC,523,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
66,136,6799,PRANESH.R.V,M,80098458,BC,523,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
67,138,1551,GOWRISHANKAR.S,M,80025890,BC,522,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
68,139,50044,RENGANATH.S,M,80171019,BC,522,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
69,140,1633,SAVAN ANTONY SAJI LOBO,M,80178562,MBC/DNC,522,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
70,141,9208,VARSHA.J,F,80112567,BC,522,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
71,142,12941,GOKULKRISHNAN.V,M,80091281,MBC/DNC,521,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
72,143,1431,SETHU ASWIN,M,80353516,BC,521,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
73,145,8301,NIVEDHA PRABAKAR,F,80024434,BC,520,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
74,147,3098,KARTHIKA.S,F,80306950,BC,520,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
75,152,5349,MADHUMATHI.S,F,80505245,BC,519,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
76,153,18886,CHETNA AROKIA R,F,80466020,MBC/DNC,519,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
77,155,24294,ATIF KHALEEL.K,M,80070404,BCM,517,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
78,156,1138,RAMANABALAN R,M,80165884,BC,517,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
79,157,375,VAISHNAVY V,F,80672941,BC,516,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
80,158,330,RAHUL KRRISHNA SAKTHI,M,80105357,MBC/DNC,515,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
81,161,12861,KARTHIKEYAN B,M,80333826,MBC/DNC,514,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
82,162,23474,ANISHKUMAR.R.J,M,80014722,BC,514,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
83,165,3672,NIHAAL YUSUF A,M,80360121,BCM,512,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
84,167,8107,BHARATHI.S,F,80311791,MBC/DNC,512,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
85,168,8632,KAAVIYAA NAKKIRAN,F,80151286,BC,511,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
86,169,1501,APARNAA A S,F,80096792,BC,511,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
87,170,3325,LAKSHMI M,F,80016629,BC,511,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
88,171,18096,ASHWANT.S,M,80836099,BC,511,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
89,172,11283,VARUSAW.SELVAGANESAN,F,80517346,BC,511,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
90,173,788,SWATHI PRIYANKA D,F,80169064,BC,510,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
91,174,5908,TAHER.S,M,80684977,BCM,510,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
92,176,16679,ASWATH G,M,80620782,BC,509,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
93,178,50608,CHURCHILL.S,M,80284397,BC,509,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
94,181,12013,GAUTHAM.R,M,80045502,BC,508,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
95,184,51901,NIKALYA.Y,F,80108632,BC,507,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
96,185,13706,BHUVANESHWARAN.K,M,80884226,MBC/DNC,506,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
97,186,5550,DEEPAK PAZHAMALAI,M,80208134,MBC/DNC,505,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
98,187,7189,SHRUTHI M,F,80754549,BC,505,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
99,188,16380,VEERASIVABALAN.S,M,80211568,BC,505,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
100,189,22049,RHEA RAJKUMAR,F,80000497,BC,505,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
101,190,8863,MOHAMMAD ABRAAR.S,M,80073344,BCM,505,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
102,191,50841,JANANI NAGARAJAN,F,80356974,MBC/DNC,504,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
103,192,8750,SINDHU S,F,80197302,BC,503,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
104,193,89,HARIHARAN M J,M,80034025,MBC/DNC,503,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
105,194,22320,RANJANGNANA RAJ.R,M,80215099,BC,503,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
106,195,10696,SUSHMETHAA.V.S.,F,80096829,BC,502,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
107,197,14055,DHIVAKHAR.S,M,80589241,BC,501,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
108,198,783,MOHAMM,,NULL,BCM,501,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
109,202,10485,MERLIN NIKITA,F,80108912,BC,500,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
110,213,10223,KAUSHIK R,M,80563186,BC,496,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
111,217,8187,GOKUL KRISHNA M S,M,80447325,BC,495,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
112,218,5877,SWARNA VARSHINI S,F,80191685,BC,494,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
113,222,1123,SUBIN KUMAR.K,M,81085439,BC,493,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
114,223,13321,PAVITHRA REKHA.R,F,80095411,BC,493,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
115,225,3247,VINOTHKUMAR S,M,80002678,BC,492,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
116,227,9273,PRANAV LOKESH.G.P,M,80056184,MBC/DNC,492,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
117,229,5825,BHARATH I,M,80217386,BC,492,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
118,230,3336,BHUVANESWARI.M,F,80215633,BC,492,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
119,232,3089,RAKAVI N,F,80030249,BC,491,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
120,236,4316,HARIHARAN.R,M,80087364,BC,490,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
121,237,22260,NITHYA LAKSHMI.K,F,80250432,BC,489,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
122,239,4911,SANGEETH MALA.R.S,F,80096405,BC,489,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
123,241,12538,DESI C KUMAR,M,80041436,BC,488,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
124,243,2535,MONIKA.K,F,80048867,MBC/DNC,487,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
125,244,12235,MUKESH L,M,80049725,BC,487,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
126,245,11273,HARINI.A,F,80347359,BC,487,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
127,246,2835,THIYANESWARAN S,M,80044781,BC,486,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
128,247,10056,SWATHY.S,F,80158901,BC,486,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
129,249,5292,SHEENA R,F,80103535,MBC/DNC,486,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
130,250,5012,AADHAVAN.V,M,80215255,MBC/DNC,485,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
131,252,19678,JONATHAN PHILIP S,M,80350151,BC,485,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
132,255,17308,SELVARAJ.A.B,M,80054580,BC,485,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
133,257,12367,KAMARUSH ZUKRIYA.S,F,80835208,BCM,484,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
134,258,10312,SURYA S,M,80062477,BC,484,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
135,260,8505,LAKSHIYA.R,F,80040016,BC,483,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
136,262,1418,JEMIMA JEBASTINA.A,F,80069168,BC,482,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
137,266,3658,M SARATH,M,80488424,BC,482,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
138,267,4334,SOORYA RAO.B.H,M,80592618,BC,482,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
139,268,5746,PARVEZ.A,M,80016737,BCM,482,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
140,271,7645,SANTHOSH KUMAR S,M,80308117,MBC/DNC,481,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
141,274,4082,GOKILAMUTHU G,F,80034442,BC,481,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
142,277,19309,SUNILKARTHICK N,M,80364595,BC,480,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
143,281,1246,PONVIJAYARAJA P,M,80030046,MBC/DNC,480,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
144,285,11828,MOHAN KANNAN,M,80629216,BC,478,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
145,286,4360,BOBINRAJ.P,M,81030856,BC,478,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
146,289,305,SUBASH R,M,80019584,BC,477,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
147,294,415,SATHYANARAYANA H,M,80363349,MBC/DNC,477,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
148,314,3136,RAKESH KANNA M,M,80371755,MBC/DNC,474,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
149,343,1091,G ANOOP,M,80096713,MBC/DNC,465,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
150,348,20389,AJAI NANDHA KISHORE A,M,80375016,MBC/DNC,465,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
151,350,7438,KARTHIKA A,F,80100871,MBC/DNC,464,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
152,356,6846,SHANMUGAPRIYA V E,F,80395494,MBC/DNC,463,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
153,365,3431,VIGNESH KUMAR J,M,80636753,MBC/DNC,462,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
154,395,7849,SURYA.V,M,80217743,MBC/DNC,456,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
155,403,11429,JANANI.R,F,80869890,MBC/DNC,454,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
156,418,2087,GAYATHIRI P,F,80025848,MBC/DNC,452,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
157,428,9207,A.RAKESH,M,80016142,MBC/DNC,450,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
158,430,10063,THANGAVEL KIRAN,M,80006142,MBC/DNC,449,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
159,443,5570,T.RATHINAPRABAKARAN,M,80103862,MBC/DNC,447,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
160,456,6683,YOGESHWAR P,M,80398630,MBC/DNC,444,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
161,468,4585,MANICKAVEL.T,M,80286694,MBC/DNC,443,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
162,484,6457,KAUSHIK PRITHVIRAJ T,M,80009213,SC,441,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
163,537,14022,R SHRIRAM,M,80461754,SC,432,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
164,542,13905,PRATHIKSHA.S,F,80903444,MBC/DNC,431,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
165,545,19168,VENGATA RAMANAN S,M,80504953,SC,431,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
166,551,1435,AARTHI A,F,80037694,MBC/DNC,430,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
167,553,9337,SANDHIYA U,F,80931917,MBC/DNC,430,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
168,554,2370,KEERTHANA.S,F,80069916,MBC/DNC,429,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
169,570,12023,STAROSE J K,F,80551323,MBC/DNC,427,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
170,582,247,PRAMOTH KANNAN.M,M,80008230,SC,425,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
171,592,4650,JANHAVI KESHAVKUMAR,F,80122868,MBC/DNC,424,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
172,602,9495,NISAPTHNI M,F,80896025,MBC/DNC,423,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
173,608,20567,PRIYADARSHINI R,F,80044278,MBC/DNC,423,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
174,618,17109,ARUN PANDIAN N,M,80680551,MBC/DNC,422,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
175,631,117,B SNEHA,F,80367019,MBC/DNC,419,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
176,638,9106,SUSHMITHA.R,F,80515326,SC,419,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
177,639,19056,SUREYA ,M,80084126,MBC/DNC,419,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
